column_name,data_type
swap_count,integer
block_number,integer
tx_count,integer
private_tx_count,integer
public_tx_count,integer
gasused_gwei,numeric
private_gasused_gwei,numeric
public_gasused_gwei,numeric
total_user_swap_volume,numeric
total_extractor_profit,numeric
multiple_count,integer
aave_count,integer
balancer1_count,integer
bancor_count,integer
compoundv2_count,integer
curve_count,integer
uniswap2_count,integer
uniswap3_count,integer
zerox_count,integer
unknown_count,integer
arb_extractor_profit,numeric
frontrun_extractor_profit,numeric
sandwich_extractor_profit,numeric
backrun_extractor_profit,numeric
liquid_extractor_profit,numeric
swap_extractor_profit,numeric
arb_user_swap_volume,numeric
frontrun_user_swap_volume,numeric
sandwich_user_swap_volume,numeric
backrun_user_swap_volume,numeric
liquid_user_swap_volume,numeric
swap_user_swap_volume,numeric
arb_count,integer
frontrun_count,integer
sandwich_count,integer
backrun_count,integer
liquid_count,integer
block_date,character varying
